QUOTE_DATE,ITEM_ID,ITEM_DESC,VALIDITY,SHOP_CODE,PRICE,INDICATOR_BOX,ORIG_INDICATOR_BOX,PRICE_RELATIVE,LOG_PRICE_RELATIVE,STRATUM_WEIGHT,STRATUM_TYPE,START_DATE,END_DATE,REGION,SHOP_TYPE,SHOP_WEIGHT,BASE_PRICE,BASE_VALIDITY,STRATUM_CELL
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.104,0.099,3.87,1,201802,999999,10,1,1,12.59,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,13.3,,,1.081,0.078,3.87,1,201802,999999,10,1,1,12.3,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.091,0.087,3.87,1,201802,999999,10,1,1,12.83,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.25,,,1.055,0.053,3.87,1,201802,999999,10,1,1,12.56,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,3.87,1,201802,999999,10,1,1,12.85,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,31,13.9,,,1.107,0.101,3.87,1,201802,999999,10,1,1,12.56,3,10
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,13.5,,,1.102,0.097,6.35,1,201802,999999,11,1,1,12.25,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.144,0.135,6.35,1,201802,999999,11,1,1,12.15,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,13.45,,,1.102,0.098,6.35,1,201802,999999,11,1,1,12.2,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.091,0.087,6.35,1,201802,999999,11,1,1,12.83,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.096,0.092,6.35,1,201802,999999,11,1,1,12.68,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,6.35,1,201802,999999,11,1,1,12.85,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,50,16.35,,,1.169,0.156,6.35,1,201802,999999,11,1,1,13.99,3,11
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,9.26,1,201802,999999,12,1,1,12.55,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.104,0.099,9.26,1,201802,999999,12,1,2,12.59,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,13.42,,,1.074,0.071,9.26,1,201802,999999,12,1,1,12.5,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,13.6,,,1.101,0.096,9.26,1,201802,999999,12,1,1,12.35,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.096,0.092,9.26,1,201802,999999,12,1,1,12.68,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,9.26,1,201802,999999,12,1,1,12.85,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,35,14.2,,,1.136,0.128,9.26,1,201802,999999,12,1,1,12.5,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,10,13.9,,,1.144,0.135,9.26,1,201802,999999,12,1,1,12.15,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,1,2,0,T,T,0,0,9.26,1,201802,999999,12,1,1,13.3,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,16,14,,,1.089,0.086,9.26,1,201802,999999,12,1,1,12.85,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,80,13.9,,,1.104,0.099,9.26,1,201802,999999,12,1,1,12.59,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,56,13.7,,,1.079,0.076,9.26,1,201802,999999,12,2,1,12.7,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,34,13.5,,,1.08,0.077,9.26,1,201802,999999,12,2,1,12.5,3,12
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,4.02,1,201802,999999,13,1,1,12.55,3,13
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.089,0.086,4.02,1,201802,999999,13,1,1,12.85,3,13
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.096,0.092,4.02,1,201802,999999,13,1,1,12.68,3,13
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,23,14.44,,,1.133,0.124,4.02,1,201802,999999,13,1,1,12.75,3,13
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,53,10.8,,,1.01,0.01,4.02,1,201803,999999,13,1,1,10.689,4,13
